"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"0","1617","FOLLOWS"
,,"1618","0","FOLLOWS"
,,"0","1620","FOLLOWS"
,,"1621","0","FOLLOWS"
,,"0","1625","FOLLOWS"
,,"1627","0","FOLLOWS"
,,"0","1628","FOLLOWS"
,,"1630","0","FOLLOWS"
,,"0","1631","FOLLOWS"
,,"0","1633","FOLLOWS"
,,"1634","0","FOLLOWS"
,,"0","1635","FOLLOWS"
,,"1637","0","FOLLOWS"
,,"0","1638","FOLLOWS"
,,"1643","0","FOLLOWS"
,,"0","1644","FOLLOWS"
,,"1646","0","FOLLOWS"
,,"0","1649","FOLLOWS"
,,"1653","0","FOLLOWS"
,,"0","1654","FOLLOWS"
,,"1655","0","FOLLOWS"
,,"0","1657","FOLLOWS"
,,"1659","0","FOLLOWS"
,,"0","1660","FOLLOWS"
,,"1663","0","FOLLOWS"
,,"0","1664","FOLLOWS"
,,"0","1666","FOLLOWS"
,,"1667","0","FOLLOWS"
,,"1670","0","FOLLOWS"
,,"0","1669","FOLLOWS"
,,"0","1677","FOLLOWS"
,,"1676","0","FOLLOWS"
,,"1680","0","FOLLOWS"
,,"0","1681","FOLLOWS"
,,"1687","0","FOLLOWS"
,,"0","1688","FOLLOWS"
,,"1690","0","FOLLOWS"
,,"0","1691","FOLLOWS"
,,"1694","0","FOLLOWS"
,,"0","1695","FOLLOWS"
,,"1698","0","FOLLOWS"
,,"0","1699","FOLLOWS"
,,"1700","0","FOLLOWS"
,,"0","1703","FOLLOWS"
,,"1704","0","FOLLOWS"
,,"1707","0","FOLLOWS"
,,"0","1708","FOLLOWS"
,,"1713","0","FOLLOWS"
,,"1714","0","FOLLOWS"
,,"0","1715","FOLLOWS"
,,"0","1719","FOLLOWS"
,,"1720","0","FOLLOWS"
,,"0","1721","FOLLOWS"
,,"1722","0","FOLLOWS"
,,"0","1727","FOLLOWS"
,,"1728","0","FOLLOWS"
,,"0","1731","FOLLOWS"
,,"1732","0","FOLLOWS"
,,"1735","0","FOLLOWS"
,,"0","1739","FOLLOWS"
,,"1737","0","FOLLOWS"
,,"0","1745","FOLLOWS"
,,"1746","0","FOLLOWS"
,,"0","1749","FOLLOWS"
,,"1750","0","FOLLOWS"
,,"1753","0","FOLLOWS"
,,"0","1754","FOLLOWS"
,,"1758","0","FOLLOWS"
,,"0","1759","FOLLOWS"
